clause_id,clause_text,silver_aspek,llm_aspek,silver_sentimen,llm_sentimen,llm_severity,beda_pada,final_aspek,final_sentimen,final_severity,catatan
r003385_c1,penjualnya ramah banget nyaman di punggung packaging aman,"kemasan, pelayanan_penjual","kemasan, kualitas_produk, pelayanan_penjual",positif,positif,,aspek,,,,
r022322_c1,semua tombolnya berfungsi dengan baik dan enak dimainin,rasa_kualitas_makanan,"kemudahan_penggunaan, kualitas_produk",positif,positif,,aspek,,,,
r039241_c0,barang bagus dan packing rapi,kemasan,"kemasan, kualitas_produk",positif,positif,,aspek,,,,
r035428_c0,mmg buat ukuran anak2 buat buyer mmg sulit membayangkan 10inch,ukuran_varian,"kesesuaian_deskripsi, ukuran_varian",netral,netral,,aspek,,,,
r020089_c0,jamnya sudah sampai,pengiriman,pengiriman,positif,netral,,sentimen,,,,
r039786_c1,sudah menulis warna ungu di catatan,ukuran_varian,ukuran_varian,netral,netral,,-,,,,
r014427_c0,produk oke packing rapih dan pengiriman cepat,"kemasan, pengiriman","kemasan, kualitas_produk, pengiriman",positif,positif,,aspek,,,,
r020203_c0,buckle harga 200ribu,harga_value,harga_value,negatif,netral,,sentimen,,,,
r000094_c2,terus menghubungi cs nya,pelayanan_penjual,pelayanan_penjual,negatif,netral,,sentimen,,,,
r030279_c0,bagus original,keaslian,"keaslian, kualitas_produk",positif,positif,,aspek,,,,
r035978_c1,pengiriman bagus dan sesuai harapan,"kesesuaian_deskripsi, pengiriman",pengiriman,positif,positif,,aspek,,,,
r008452_c0,bagus sesuai gambar,kesesuaian_deskripsi,"kesesuaian_deskripsi, kualitas_produk",positif,positif,,aspek,,,,
r014122_c3,barangnya bagus bonusnya yahud,kualitas_produk,"kelengkapan, kualitas_produk",positif,positif,,aspek,,,,
r022694_c2,kondisi mulus sesuai dengan deskripsi,kesesuaian_deskripsi,"kesesuaian_deskripsi, kualitas_produk",positif,positif,,aspek,,,,
r036021_c3,tidak dapet warna pink,ukuran_varian,"kesesuaian_deskripsi, ukuran_varian",positif,negatif,sedang,aspek + sentimen,,,,
r002793_c5,warna pink�y tidak soft seperti gambar (maaf) pink�y seperti warna taplak meja hajatan,ukuran_varian,"kesesuaian_deskripsi, ukuran_varian",negatif,negatif,sedang,aspek,,,,
r020790_c0,kabel berfungsi dengan baik,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r022309_c0,barang sudah sampai,pengiriman,pengiriman,positif,netral,,sentimen,,,,
r035444_c0,standar sesuai harga,"harga_value, kesesuaian_deskripsi",harga_value,positif,netral,,aspek + sentimen,,,,
r004747_c1,kelengkapan sesuai,"kelengkapan, kesesuaian_deskripsi",kelengkapan,positif,positif,,aspek,,,,
r019936_c2,dan juga ori,keaslian,keaslian,positif,positif,,-,,,,
r029947_c1,jadi yaudah lah,(tidak ada),(tidak ada),positif,netral,,sentimen,,,,
r002775_c1,tidak sesuai,kesesuaian_deskripsi,kesesuaian_deskripsi,negatif,negatif,sedang,-,,,,
r003345_c0,nyaman banget dipakai,kemudahan_penggunaan,kualitas_produk,positif,positif,,aspek,,,,
r006934_c0,barang bagus sesuai deskripsi terima kasih,kesesuaian_deskripsi,"kesesuaian_deskripsi, kualitas_produk",positif,positif,,aspek,,,,
r028888_c2,kenapa ya,(tidak ada),(tidak ada),positif,netral,,sentimen,,,,
r004621_c5,pas unboxing isi paket tetap kering,"kelengkapan, pengiriman",kemasan,positif,positif,,aspek,,,,
r022949_c0,kinclong lah pokokny mantap ea ea,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r038843_c2,apakah di deskripsi hilang atau tidak tercantum untuk warna yang di pilih,"kelengkapan, kesesuaian_deskripsi, ukuran_varian","kesesuaian_deskripsi, ukuran_varian",negatif,negatif,rendah,aspek,,,,
r035945_c0,cepat respon barng bagus sesuai dengan foto yang ditampilkan,"kesesuaian_deskripsi, pelayanan_penjual","kesesuaian_deskripsi, kualitas_produk, pelayanan_penjual",positif,positif,,aspek,,,,
r022530_c1,cepat sampe juga,(tidak ada),pengiriman,positif,positif,,aspek,,,,
r005225_c1,maza sih dengan harga segitu produk yang di tawarkan bisa mantap,harga_value,"harga_value, kualitas_produk",positif,positif,,aspek,,,,
r017833_c0,produk bagus,kualitas_produk,kualitas_produk,positif,positif,,-,,,,
r014870_c0,bagusbtas,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r037850_c0,pengantaran bagus cuman bikin rubber bat tambah rusak kw,"keaslian, kualitas_produk","kualitas_produk, pengiriman",negatif,negatif,sedang,aspek,,,,
r005807_c1,untuk mollar jangan pakai yang ini :),(tidak ada),kemudahan_penggunaan,positif,negatif,sedang,aspek + sentimen,,,,
r011631_c0,tingkatkan trus pelayanannya,pelayanan_penjual,pelayanan_penjual,positif,netral,,sentimen,,,,
r038909_c2,produknya sejauh ini bisa dipakai,kemudahan_penggunaan,"kemudahan_penggunaan, kualitas_produk",netral,netral,,aspek,,,,
r006700_c0,barang bagus pake banget pengiriman mantap,pengiriman,"kualitas_produk, pengiriman",positif,positif,,aspek,,,,
r004137_c4,bahannya memang random dan tidak bisa milih,(tidak ada),"kesesuaian_deskripsi, ukuran_varian",positif,negatif,rendah,aspek + sentimen,,,,
r001696_c1,tercium aroma kecoa yang sgt menyengat,rasa_kualitas_makanan,kualitas_produk,negatif,negatif,tinggi,aspek,,,,
r004231_c3,bisa kepakek untuk di rumah saja warnanya cantik,ukuran_varian,"kemudahan_penggunaan, ukuran_varian",positif,positif,,aspek,,,,
r001637_c2,reply : saya sudah kirim bukti tambahan lwt wa,pengiriman,pelayanan_penjual,negatif,netral,,aspek + sentimen,,,,
r028569_c3,untuk yang mau beli baterai k2450 harus di tanyakan dulu untuk ukuran yang original baterai bawannya kaalau memang ingin yang bawaannya,"keaslian, ukuran_varian","keaslian, ukuran_varian",positif,netral,,sentimen,,,,
r013133_c1,enak d pake ngegame,rasa_kualitas_makanan,kemudahan_penggunaan,positif,positif,,aspek,,,,
r014106_c1,pas banget dengan body miro,(tidak ada),ukuran_varian,positif,positif,,aspek,,,,
r036107_c0,barang sudahsampai,kualitas_produk,pengiriman,positif,netral,,aspek + sentimen,,,,
r003680_c6,boro2 dikonsumsi,(tidak ada),"kualitas_produk, rasa_kualitas_makanan",negatif,negatif,tinggi,aspek,,,,
r020418_c1,kirain kayak toko sebelah qoo10 beli barang 1 bulan barang g nyampai malang dbilang barang hilang,kelengkapan,pengiriman,negatif,positif,,aspek + sentimen,,,,
r015515_c1,proses cepat,(tidak ada),pengiriman,positif,positif,,aspek,,,,
r004849_c6,saya khawatir ini tidak ori,keaslian,keaslian,negatif,negatif,sedang,-,,,,
r016838_c1,pengiriman super cepat,pengiriman,pengiriman,positif,positif,,-,,,,
r004847_c1,alhasil dusnya babakbelur penyok & sobek sana sini,kualitas_produk,kemasan,negatif,negatif,tinggi,aspek,,,,
r016733_c0,barang sesuai dengan deskripsi dan nyaman dipakai,"kemudahan_penggunaan, kesesuaian_deskripsi","kesesuaian_deskripsi, kualitas_produk",positif,positif,,aspek,,,,
r003393_c2,panjang tongkat 100cm ada 2 sisi,(tidak ada),ukuran_varian,positif,netral,,aspek + sentimen,,,,
r035458_c0,salah warna,ukuran_varian,"kesesuaian_deskripsi, ukuran_varian",negatif,negatif,tinggi,aspek,,,,
r037024_c0,kualitas bagus pemakaian hemat bisa untuk 2 pasang lebih,"kemudahan_penggunaan, kualitas_produk","harga_value, kualitas_produk",positif,positif,,aspek,,,,
r022344_c3,hanya plastik hitam mudah robek,"kemasan, kualitas_produk",kemasan,positif,negatif,sedang,aspek + sentimen,,,,
r004446_c2,gak smpet foto sya ksihkan sama nenek sya,(tidak ada),(tidak ada),negatif,netral,,sentimen,,,,
r028276_c0,mantap barang dkrim sesuai deskripsi,kesesuaian_deskripsi,"kesesuaian_deskripsi, pengiriman",positif,positif,,aspek,,,,
r021677_c2,tidak bisa di gunakan,(tidak ada),"kemudahan_penggunaan, kualitas_produk",netral,negatif,tinggi,aspek + sentimen,,,,
r025441_c0,cat5e lentur and working just great,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r032780_c0,kayakx tidak perlu basa basi,rasa_kualitas_makanan,(tidak ada),positif,netral,,aspek + sentimen,,,,
r039036_c0,barang sudah diterima dengan baik,kualitas_produk,pengiriman,positif,positif,,aspek,,,,
r018082_c1,semoga bisa dipakai dalam waktu lama,kemudahan_penggunaan,kualitas_produk,negatif,netral,,aspek + sentimen,,,,
r037031_c0,lengket,(tidak ada),kualitas_produk,positif,negatif,rendah,aspek + sentimen,,,,
r005020_c1,cocok buat warm tone,(tidak ada),ukuran_varian,positif,positif,,aspek,,,,
r015620_c1,ukuran 42nya abis,ukuran_varian,ukuran_varian,positif,netral,,sentimen,,,,
r003348_c0,nyaman banget dipakai,kemudahan_penggunaan,kualitas_produk,positif,positif,,aspek,,,,
r022589_c0,l 2 di pencet rada kurang enak,rasa_kualitas_makanan,"kemudahan_penggunaan, kualitas_produk",negatif,negatif,rendah,aspek,,,,
r035956_c0,terima kasih sudah diterima dgb baik,(tidak ada),pengiriman,positif,positif,,aspek,,,,
r002613_c0,bahanny tidak enak,rasa_kualitas_makanan,kualitas_produk,negatif,negatif,sedang,aspek,,,,
r016709_c0,mantap sendalnnya kokoh,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r007070_c0,barang sesuai dengan harga mayan buat kerja,"harga_value, kesesuaian_deskripsi","harga_value, kualitas_produk",positif,positif,,aspek,,,,
r028569_c0,barang tidak sesuai dengan yang original bawaannya,"keaslian, kesesuaian_deskripsi","keaslian, kesesuaian_deskripsi",positif,negatif,tinggi,sentimen,,,,
r000413_c0,sudah lama tidak makan,(tidak ada),(tidak ada),negatif,netral,,sentimen,,,,
r038902_c2,hari ini langsung dipakai,kemudahan_penggunaan,(tidak ada),positif,netral,,aspek + sentimen,,,,
r020793_c1,terima kasih seller,pelayanan_penjual,pelayanan_penjual,positif,positif,,-,,,,
r026853_c0,lengkap sesuai pesanan,"kelengkapan, kesesuaian_deskripsi","kelengkapan, kesesuaian_deskripsi",positif,positif,,-,,,,
r034440_c0,seller cepat respon barang sesuai harga,"harga_value, kesesuaian_deskripsi, pelayanan_penjual","harga_value, pelayanan_penjual",positif,positif,,aspek,,,,
r004226_c1,modelnya cantik,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r002791_c3,tolong sebelum kirim di cek dulu kualitas biar tidak gini,"kualitas_produk, pengiriman","kualitas_produk, pelayanan_penjual",negatif,negatif,sedang,aspek,,,,
r038965_c0,jne yes,pengiriman,pengiriman,netral,positif,,sentimen,,,,
r003941_c6,sy punya video unboxingnya,(tidak ada),(tidak ada),negatif,netral,,sentimen,,,,
r014799_c2,produk dikirimkan dengan tutorial penggunaan yang sangat efektif membersihkan kotoran,kemudahan_penggunaan,"kelengkapan, kemudahan_penggunaan",positif,positif,,aspek,,,,
r022633_c0,baguus gan barangnyaa cumaan agak macet di l2nya ajaa sisanyaa joos,(tidak ada),kualitas_produk,positif,negatif,rendah,aspek + sentimen,,,,
r022558_c0,mantap,(tidak ada),(tidak ada),positif,positif,,-,,,,
r013412_c1,spekernya mati sebelah,(tidak ada),kualitas_produk,positif,negatif,tinggi,aspek + sentimen,,,,
r036108_c1,kirimnya cepat responnya cepat puaslah sama pelayanannya,pelayanan_penjual,"pelayanan_penjual, pengiriman",positif,positif,,aspek,,,,
r035443_c3,sesaknya luar biasa,(tidak ada),ukuran_varian,netral,negatif,sedang,aspek + sentimen,,,,
r003752_c1,yang kecil warnanya kusem cenderung warna kuning kaya plastik murah,"harga_value, kemasan, ukuran_varian","kualitas_produk, ukuran_varian",positif,negatif,sedang,aspek + sentimen,,,,
r002835_c2,tidak nyangka ternyata paketnya bagus banget dan kacamatanya memang sangat berguna buat orang yang sering pakai hp,(tidak ada),"kemasan, kualitas_produk",positif,positif,,aspek,,,,
r004845_c0,paket datang kardus penyok & robek,"kemasan, kualitas_produk, pengiriman",kemasan,negatif,negatif,sedang,aspek,,,,
r015192_c3,produk nya pokoknya enak dan nyaman serta berkualitas,rasa_kualitas_makanan,kualitas_produk,positif,positif,,aspek,,,,
r015563_c2,thanks,(tidak ada),(tidak ada),positif,positif,,-,,,,
r003881_c2,tetap saja dikirim,pengiriman,pelayanan_penjual,negatif,negatif,sedang,aspek,,,,
r013703_c0,mantap barang sesuai deskripsi terima kasih,kesesuaian_deskripsi,kesesuaian_deskripsi,positif,positif,,-,,,,
r016194_c1,enteng,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r002010_c2,banyak kotoran ramatnya,(tidak ada),kualitas_produk,negatif,negatif,sedang,aspek,,,,
r013134_c3,main jadi lebih asik,(tidak ada),kemudahan_penggunaan,positif,positif,,aspek,,,,
r032701_c0,datang cepat dan sesuai dengan gambar langsung bisa dipakai,"kemudahan_penggunaan, kesesuaian_deskripsi","kesesuaian_deskripsi, pengiriman",positif,positif,,aspek,,,,
r011624_c0,kwalitas barang sesuai harga,"harga_value, kesesuaian_deskripsi","harga_value, kualitas_produk",positif,positif,,aspek,,,,
r000796_c3,produk original,keaslian,keaslian,positif,positif,,-,,,,
r014120_c0,responnya cepat banget pengiriman cepat banget barang oke bgt,"pelayanan_penjual, pengiriman","kualitas_produk, pelayanan_penjual, pengiriman",positif,positif,,aspek,,,,
r001277_c1,wanginya enak & bikin tangan jadi halus abis dipakai,"kemudahan_penggunaan, rasa_kualitas_makanan",kualitas_produk,positif,positif,,aspek,,,,
r015606_c2,nyaman dipakai,kemudahan_penggunaan,kualitas_produk,positif,positif,,aspek,,,,
r014501_c0,mantap bro tidak salah dengan brodo selalu memuaskan,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r022449_c0,barang sesuai dan pengiriman cepat tanpa basa basi,"kesesuaian_deskripsi, pengiriman, rasa_kualitas_makanan","kesesuaian_deskripsi, pengiriman",positif,positif,,aspek,,,,
r001623_c0,dikirim bor nya kurang satu,"kelengkapan, pengiriman",kelengkapan,negatif,negatif,tinggi,aspek,,,,
r004628_c1,kelengkapan sesuai,"kelengkapan, kesesuaian_deskripsi",kelengkapan,positif,positif,,aspek,,,,
r000298_c1,cat tidak rapih dan bahan kyk plastik murahan,"kemasan, kualitas_produk",kualitas_produk,negatif,negatif,sedang,aspek,,,,
r022798_c0,jumlah barang sesuai,"kelengkapan, kesesuaian_deskripsi",kelengkapan,positif,positif,,aspek,,,,
r037848_c2,terima kasih,(tidak ada),(tidak ada),positif,positif,,-,,,,
r016526_c2,seller quick response,pelayanan_penjual,pelayanan_penjual,positif,positif,,-,,,,
r029281_c2,cepat banget prosesnya,(tidak ada),pengiriman,positif,positif,,aspek,,,,
r037817_c1,uda direndam air panas pun tidak hilang baunya,kelengkapan,kualitas_produk,positif,negatif,tinggi,aspek + sentimen,,,,
r011418_c1,masih berasa suara bassnya walau sedikit,(tidak ada),kualitas_produk,positif,netral,,aspek + sentimen,,,,
r002519_c2,suara lumayan,(tidak ada),kualitas_produk,positif,netral,,aspek + sentimen,,,,
r006960_c0,barang bagus sesuai harapan,kesesuaian_deskripsi,kualitas_produk,positif,positif,,aspek,,,,
r029024_c1,yg asli 2800 yang dikirim,"keaslian, pengiriman","keaslian, kesesuaian_deskripsi",positif,negatif,sedang,aspek + sentimen,,,,
r004231_c1,ngasih gratisan harus sesuai ukuran juga,"kesesuaian_deskripsi, ukuran_varian","kelengkapan, ukuran_varian",positif,negatif,sedang,aspek + sentimen,,,,
r003941_c2,tp barang yang datang penyok,kualitas_produk,"kemasan, kualitas_produk",negatif,negatif,sedang,aspek,,,,
r020679_c2,sudah dicoba smua berfungsi baik,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r003373_c13,packaging aman,kemasan,kemasan,positif,positif,,-,,,,
r034224_c0,barang tlh kmi terima dengan baik n cepat,kualitas_produk,pengiriman,positif,positif,,aspek,,,,
r016351_c0,barang manstap sesuai deskrifsi,kesesuaian_deskripsi,"kesesuaian_deskripsi, kualitas_produk",positif,positif,,aspek,,,,
r004919_c0,barang sudah sampai,pengiriman,pengiriman,negatif,netral,,sentimen,,,,
r022621_c0,bagus lumayan dengan harga segini,harga_value,"harga_value, kualitas_produk",positif,positif,,aspek,,,,
r002357_c0,cepat response pengiriman cepat packing aman dan rapi buku ori harga bersaing,"harga_value, keaslian, kemasan, pengiriman","harga_value, keaslian, kemasan, pelayanan_penjual, pengiriman",positif,positif,,aspek,,,,
r014771_c0,terima kasih kak barangnga sudah sampai :) bagus dan sesuai ukuran,"kesesuaian_deskripsi, pengiriman, ukuran_varian","kualitas_produk, pengiriman, ukuran_varian",positif,positif,,aspek,,,,
r035639_c2,brang bagus (y) tidak mengecewakan,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r019958_c1,bahkan menurut gua lebih bagus aslinya di banding gambarnya,(tidak ada),"kesesuaian_deskripsi, kualitas_produk",positif,positif,,aspek,,,,
r022671_c3,sudah dicoba dan bagus,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r002243_c2,semoga tidak ada kendala saat pemakaian,kemudahan_penggunaan,kemudahan_penggunaan,positif,netral,,sentimen,,,,
r022682_c4,but oke lah,(tidak ada),(tidak ada),positif,netral,,sentimen,,,,
r002823_c5,nyaman dipakai,kemudahan_penggunaan,kualitas_produk,positif,positif,,aspek,,,,
r023001_c4,bass nya mayan ada,(tidak ada),kualitas_produk,positif,netral,,aspek + sentimen,,,,
r035884_c0,kwalitas mantap,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r036059_c1,pengiriman sangat cepat langsung dikirim pada hari pembayaran produk juga seperti di gambar bagus quality sya ksh 5 stars ^^,pengiriman,"kesesuaian_deskripsi, kualitas_produk, pengiriman",positif,positif,,aspek,,,,
r002837_c2,rekomendit banget deh pokok nya buat beli disini dan juga lengkap lagi,kelengkapan,"kelengkapan, pelayanan_penjual",positif,positif,,aspek,,,,
r002823_c1,jahitannya rapi,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r004228_c5,modelnya cantik,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r035951_c1,setelah di keluarkan beberapa waktu (sehari) bau agak berkurang,(tidak ada),kualitas_produk,negatif,negatif,rendah,aspek,,,,
r004621_c0,guercep pol,(tidak ada),pelayanan_penjual,positif,positif,,aspek,,,,
r009152_c0,pengiriman cepat barang sesuai dengan harga,"harga_value, kesesuaian_deskripsi, pengiriman","harga_value, pengiriman",positif,positif,,aspek,,,,
r037909_c1,enak dipakaii,rasa_kualitas_makanan,kemudahan_penggunaan,positif,positif,,aspek,,,,
r014111_c3,bonus atau gimana ya sis,kelengkapan,kelengkapan,positif,netral,,sentimen,,,,
r003019_c2,kualitas suara standar sebanding dengan harga,"harga_value, kualitas_produk","harga_value, kualitas_produk",positif,netral,,sentimen,,,,
r002552_c0,dikirimnya lama,(tidak ada),pengiriman,negatif,negatif,sedang,aspek,,,,
r038896_c0,mungkin lebih baik lagi kalau disediakan ukuran,ukuran_varian,"kesesuaian_deskripsi, ukuran_varian",positif,negatif,rendah,aspek + sentimen,,,,
r003344_c1,ada hooknya yang bisa ditarik jadi kalau celana kegedean,(tidak ada),"kualitas_produk, ukuran_varian",positif,positif,,aspek,,,,
r003833_c0,cover buku tidak bagus,(tidak ada),kualitas_produk,negatif,negatif,sedang,aspek,,,,
r036110_c0,terima kasih barang sudah diterima dengan baik,kualitas_produk,pengiriman,positif,positif,,aspek,,,,
r001990_c2,dikirim warna biru),"pengiriman, ukuran_varian",ukuran_varian,negatif,netral,,aspek + sentimen,,,,
r016479_c2,kalau bisa buat sampai ukuran 50 gan,"pengiriman, ukuran_varian",ukuran_varian,positif,netral,,aspek + sentimen,,,,
r004803_c12,sampai tgl 21,pengiriman,pengiriman,negatif,netral,,sentimen,,,,
r039057_c1,terima kasih,(tidak ada),(tidak ada),positif,positif,,-,,,,
r002864_c0,-respon cepat & segera diproses -pengiriman rapi & cepat -piyama sesuai & nyaman digunakan -adminnya ada inisiatif untuk mengirimkan warna piyama yang berbeda -,"kemudahan_penggunaan, kesesuaian_deskripsi, pelayanan_penjual, pengiriman, ukuran_varian","kesesuaian_deskripsi, kualitas_produk, pelayanan_penjual, pengiriman",positif,positif,,aspek,,,,
r036006_c1,sesuai dengan harga,"harga_value, kesesuaian_deskripsi",harga_value,positif,positif,,aspek,,,,
r018405_c4,kalau original pasti bakalan jadi langganan karena harga nya benar2 bersaing sama yang lain,"harga_value, keaslian","harga_value, keaslian",positif,negatif,sedang,sentimen,,,,
r022398_c0,mantap lah dengan harga segitu,harga_value,harga_value,positif,positif,,-,,,,
r014303_c2,terima kasih gan bonus nya,kelengkapan,kelengkapan,positif,positif,,-,,,,
r035907_c1,ada aroma tidak nyaman dari matrasnya,rasa_kualitas_makanan,kualitas_produk,negatif,negatif,sedang,aspek,,,,
r039054_c0,tidak jelas apa ukuran nya,ukuran_varian,"kesesuaian_deskripsi, ukuran_varian",positif,negatif,sedang,aspek + sentimen,,,,
r003855_c6,dan tidak nyaman,(tidak ada),kualitas_produk,negatif,negatif,sedang,aspek,,,,
r022560_c0,barang sudah diterima dan berfungsi dengan baik,kualitas_produk,"kualitas_produk, pengiriman",positif,positif,,aspek,,,,
r022368_c0,rapih,(tidak ada),kemasan,positif,positif,,aspek,,,,
r000308_c1,toko juga sudah terpercaya,(tidak ada),pelayanan_penjual,positif,positif,,aspek,,,,
r028294_c0,terima kasih sempet ada problem,(tidak ada),pelayanan_penjual,positif,netral,,aspek + sentimen,,,,
r002371_c2,barang bagus dan ori,keaslian,"keaslian, kualitas_produk",positif,positif,,aspek,,,,
r015342_c4,yang ini sempit,ukuran_varian,ukuran_varian,negatif,negatif,sedang,-,,,,
r025769_c1,responnya cepat tanpa banyak basa-basi langsung dikirim &amp,"pelayanan_penjual, pengiriman, rasa_kualitas_makanan","pelayanan_penjual, pengiriman",positif,positif,,aspek,,,,
r005225_c10,ini benar murni saya sebagai pembeli,(tidak ada),(tidak ada),positif,netral,,sentimen,,,,
r008411_c2,mdh&#34,(tidak ada),(tidak ada),positif,netral,,sentimen,,,,
r000413_c3,sambel ttp enak,rasa_kualitas_makanan,rasa_kualitas_makanan,positif,positif,,-,,,,
r001413_c1,kalau ada mau pesen balo gold sama silvernya saja 10 pcs,(tidak ada),ukuran_varian,negatif,netral,,aspek + sentimen,,,,
r018078_c1,respon juga baik,pelayanan_penjual,pelayanan_penjual,positif,positif,,-,,,,
r039245_c0,barang saya rasa cukup bagus,rasa_kualitas_makanan,kualitas_produk,positif,positif,,aspek,,,,
r038911_c0,barang sudah sampai,pengiriman,pengiriman,positif,netral,,sentimen,,,,
r000577_c0,sangat tidak cocok dengan yang tidak suka manis,rasa_kualitas_makanan,rasa_kualitas_makanan,negatif,netral,,sentimen,,,,
r014728_c2,tidak bisa kaki sakit,(tidak ada),"kualitas_produk, ukuran_varian",positif,negatif,sedang,aspek + sentimen,,,,
r011904_c0,kwalitas sesuai dengan harga nya,"harga_value, kesesuaian_deskripsi","harga_value, kualitas_produk",positif,positif,,aspek,,,,
r000427_c0,di foto bonus foto besar,kelengkapan,kesesuaian_deskripsi,negatif,netral,,aspek + sentimen,,,,
r028438_c1,terkadang gambar burem terang om,(tidak ada),kualitas_produk,netral,negatif,sedang,aspek + sentimen,,,,
r002131_c1,aseli dan aman,(tidak ada),keaslian,positif,positif,,aspek,,,,
r001413_c0,sudah tanya sebelumnya sama penjualnya ada tidak balon warna gold dama silver,ukuran_varian,"pelayanan_penjual, ukuran_varian",negatif,netral,,aspek + sentimen,,,,
r022394_c1,sudah dipake enak barang nya alhamdulillah tidak ada kendala,rasa_kualitas_makanan,"kemudahan_penggunaan, kualitas_produk",positif,positif,,aspek,,,,
r017412_c0,sepatunya super ringan,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r025444_c3,saya rasa tidak ada masalah,rasa_kualitas_makanan,(tidak ada),positif,positif,,aspek,,,,
r004763_c2,suaranya jernih,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r003722_c6,kalau pengiriman dan packing tidak aman,"kemasan, pengiriman","kemasan, pengiriman",negatif,negatif,sedang,-,,,,
r003230_c0,toko tidak bertanggung jawab,(tidak ada),pelayanan_penjual,negatif,negatif,tinggi,aspek,,,,
r015257_c2,bagus dan enak pakai terima kasih,rasa_kualitas_makanan,"kemudahan_penggunaan, kualitas_produk",positif,positif,,aspek,,,,
r039791_c1,dan keren,(tidak ada),(tidak ada),positif,positif,,-,,,,
r022507_c1,di packing pakai kresek😂😂,kemasan,kemasan,positif,negatif,sedang,sentimen,,,,
