clause_id,clause_text,category_produk,asp_kualitas_produk,asp_kesesuaian_deskripsi,asp_harga_value,asp_ukuran_varian,asp_rasa_kualitas_makanan,asp_kemasan,asp_pengiriman,asp_pelayanan_penjual,asp_kelengkapan,asp_keaslian,asp_kemudahan_penggunaan,sentimen,severity,catatan_pelabel
r035949_c1,sesuai dengan harga,other,,,,,,,,,,,,,,
r013408_c0,barang sesuai deskripsi,electronics,,,,,,,,,,,,,,
r018411_c3,bisa bri tahu settingannya bro,fashion,,,,,,,,,,,,,,
r022798_c2,dan cepat respon recommended seller,electronics,,,,,,,,,,,,,,
r015620_c1,ukuran 42nya abis,fashion,,,,,,,,,,,,,,
r000413_c0,sudah lama tidak makan,food_beverage,,,,,,,,,,,,,,
r000094_c2,terus menghubungi cs nya,electronics,,,,,,,,,,,,,,
r013412_c1,spekernya mati sebelah,electronics,,,,,,,,,,,,,,
r025441_c0,cat5e lentur and working just great,electronics,,,,,,,,,,,,,,
r035895_c0,packing rapih dan barang sesuai,other,,,,,,,,,,,,,,
r018394_c1,barang apalagi ada flash sale,fashion,,,,,,,,,,,,,,
r022948_c3,rugi,electronics,,,,,,,,,,,,,,
r014106_c1,pas banget dengan body miro,electronics,,,,,,,,,,,,,,
r004154_c1,harga murah banget,fashion,,,,,,,,,,,,,,
r006019_c0,barang sudah nyampe sesuai pesanan,craft,,,,,,,,,,,,,,
r015621_c1,untuk harga segitu kualitas cukup memuaskan,fashion,,,,,,,,,,,,,,
r028810_c0,tks,electronics,,,,,,,,,,,,,,
r003752_c0,pesen yang besar sama yang kecil warna putih,other,,,,,,,,,,,,,,
r039057_c1,terima kasih,other,,,,,,,,,,,,,,
r016838_c1,pengiriman super cepat,fashion,,,,,,,,,,,,,,
r009159_c1,warna sesuai pesanan saya,fashion,,,,,,,,,,,,,,
r004159_c0,harga oke,fashion,,,,,,,,,,,,,,
r022673_c0,produk oke,electronics,,,,,,,,,,,,,,
r014122_c3,barangnya bagus bonusnya yahud,electronics,,,,,,,,,,,,,,
r015659_c2,nya agak ke&#39,fashion,,,,,,,,,,,,,,
r037836_c0,kualitas bagus dan recommended untuk membersihkan karet bet dari debu atau kotoran,other,,,,,,,,,,,,,,
r022591_c3,buat yang butuh joystick yang murah bisa pesan disini,electronics,,,,,,,,,,,,,,
r004803_c12,sampai tgl 21,other,,,,,,,,,,,,,,
r039245_c0,barang saya rasa cukup bagus,other,,,,,,,,,,,,,,
r035951_c1,setelah di keluarkan beberapa waktu (sehari) bau agak berkurang,other,,,,,,,,,,,,,,
r004919_c0,barang sudah sampai,electronics,,,,,,,,,,,,,,
r002775_c1,tidak sesuai,fashion,,,,,,,,,,,,,,
r013133_c1,enak d pake ngegame,electronics,,,,,,,,,,,,,,
r003754_c0,diterima dalam keadaan packing terbuka dan terlihat sudah pecah,other,,,,,,,,,,,,,,
r018239_c1,pengiriman cepat,fashion,,,,,,,,,,,,,,
r036805_c0,memang harga menentukan kualitas,other,,,,,,,,,,,,,,
r000094_c4,hadeuhh,electronics,,,,,,,,,,,,,,
r014303_c2,terima kasih gan bonus nya,electronics,,,,,,,,,,,,,,
r033304_c0,kualitas oke pemakaian pas recommended,fashion,,,,,,,,,,,,,,
r038965_c0,jne yes,other,,,,,,,,,,,,,,
r011904_c0,kwalitas sesuai dengan harga nya,electronics,,,,,,,,,,,,,,
r022456_c0,barang sesuai gambar,electronics,,,,,,,,,,,,,,
r022343_c0,terima kasih gan barang sudah saya terima dengan baik,electronics,,,,,,,,,,,,,,
r006519_c0,barang sesuai deskripsi,craft,,,,,,,,,,,,,,
r013897_c3,bagus seller,electronics,,,,,,,,,,,,,,
r017177_c1,kebetulan pas,fashion,,,,,,,,,,,,,,
r004228_c5,modelnya cantik,fashion,,,,,,,,,,,,,,
r000308_c1,toko juga sudah terpercaya,other,,,,,,,,,,,,,,
r028569_c0,barang tidak sesuai dengan yang original bawaannya,electronics,,,,,,,,,,,,,,
r018298_c0,ori fossil,fashion,,,,,,,,,,,,,,
r015606_c2,nyaman dipakai,fashion,,,,,,,,,,,,,,
r008397_c1,pesanan sudah sampai dan langsung dipakai,electronics,,,,,,,,,,,,,,
r020873_c0,manrap bsk dapat bonus lagi yah,electronics,,,,,,,,,,,,,,
r004144_c1,kualitas sesuai harga,fashion,,,,,,,,,,,,,,
r035950_c0,barangnya bagus,other,,,,,,,,,,,,,,
r003833_c0,cover buku tidak bagus,other,,,,,,,,,,,,,,
r003529_c2,packaging rapi,other,,,,,,,,,,,,,,
r020203_c0,buckle harga 200ribu,fashion,,,,,,,,,,,,,,
r016433_c3,walau ane minta custom ketebelan ternyata,fashion,,,,,,,,,,,,,,
r001304_c0,cepat resp seller pengiriman cepat packaging rapih aman barang lengkap sesuaii thankss a lott,other,,,,,,,,,,,,,,
r035934_c1,belum dipakai,other,,,,,,,,,,,,,,
r038893_c0,cukup sudah lumayan gan ukuran dan warna sesuai dengan foto,other,,,,,,,,,,,,,,
r016395_c1,pengiriman tettunda sama saja pake jne mahal di ongkir pake gosend kalau tertunda sperti ini,fashion,,,,,,,,,,,,,,
r000361_c3,thamos train set,other,,,,,,,,,,,,,,
r022834_c0,sudah dipasang,electronics,,,,,,,,,,,,,,
r004745_c0,barang original,electronics,,,,,,,,,,,,,,
r032780_c1,ini toko mantap pnya is the best,electronics,,,,,,,,,,,,,,
r039049_c0,terimakasih barang sudah sampai,other,,,,,,,,,,,,,,
r016382_c1,recommended sangat,fashion,,,,,,,,,,,,,,
r006954_c2,pemasangan juga gampang bisa sendiri,fashion,,,,,,,,,,,,,,
r000414_c1,ini pemesanan untuk yang kesekian kalinya,food_beverage,,,,,,,,,,,,,,
r001507_c0,kapok saya beli kembang api di toko ini bilang nya,craft,,,,,,,,,,,,,,
r032616_c0,harga murah dan bisa di gunakan dan pasti jadi rutin beli,electronics,,,,,,,,,,,,,,
r003019_c2,kualitas suara standar sebanding dengan harga,other,,,,,,,,,,,,,,
r004918_c3,kecewa sih,electronics,,,,,,,,,,,,,,
r014521_c0,pas ukuran kualitas unggulan,fashion,,,,,,,,,,,,,,
r000951_c0,tidak mengkilap dan cepat hilang,other,,,,,,,,,,,,,,
r008419_c4,sudah seminggu statusnya rumah kosong,electronics,,,,,,,,,,,,,,
r022819_c0,semoga awet tidak mudah pecah,electronics,,,,,,,,,,,,,,
r032701_c0,datang cepat dan sesuai dengan gambar langsung bisa dipakai,electronics,,,,,,,,,,,,,,
r003680_c6,boro2 dikonsumsi,other,,,,,,,,,,,,,,
r022694_c2,kondisi mulus sesuai dengan deskripsi,electronics,,,,,,,,,,,,,,
r003108_c2,dari saya sendiri tidak kirim kesana karena ribet dalam ongkir dan pengiriman nya,electronics,,,,,,,,,,,,,,
r022813_c0,respon seller sangat baik dan cepat tentunya barang sesuai,electronics,,,,,,,,,,,,,,
r025771_c2,thks gan,electronics,,,,,,,,,,,,,,
r001696_c1,tercium aroma kecoa yang sgt menyengat,craft,,,,,,,,,,,,,,
r000530_c3,enak tidak cape jadi makin sering masak biar hemat dan sehat dirumahmakasi yaa sudah mempermudah masak,food_beverage,,,,,,,,,,,,,,
r028294_c0,terima kasih sempet ada problem,electronics,,,,,,,,,,,,,,
r017412_c0,sepatunya super ringan,fashion,,,,,,,,,,,,,,
r003328_c0,menggunakan bahan alami,other,,,,,,,,,,,,,,
r022516_c4,terima kasih,electronics,,,,,,,,,,,,,,
r003802_c2,bukan buku original,other,,,,,,,,,,,,,,
r004621_c5,pas unboxing isi paket tetap kering,electronics,,,,,,,,,,,,,,
r002835_c0,seller ramah,fashion,,,,,,,,,,,,,,
r002926_c2,warnanya bagus,fashion,,,,,,,,,,,,,,
r039217_c0,oke tks sesuai dengan gambar,other,,,,,,,,,,,,,,
r025603_c0,respon cepat,fashion,,,,,,,,,,,,,,
r022507_c1,di packing pakai kresek😂😂,electronics,,,,,,,,,,,,,,
r002823_c5,nyaman dipakai,fashion,,,,,,,,,,,,,,
r022344_c3,hanya plastik hitam mudah robek,electronics,,,,,,,,,,,,,,
r033126_c0,respon penjual sangat cepat dan barang sesuai pesanan,electronics,,,,,,,,,,,,,,
r034440_c0,seller cepat respon barang sesuai harga,other,,,,,,,,,,,,,,
r016709_c0,mantap sendalnnya kokoh,fashion,,,,,,,,,,,,,,
r002791_c3,tolong sebelum kirim di cek dulu kualitas biar tidak gini,fashion,,,,,,,,,,,,,,
r015257_c2,bagus dan enak pakai terima kasih,fashion,,,,,,,,,,,,,,
r037016_c1,mudah dipakai,other,,,,,,,,,,,,,,
r035442_c2,kualitas sesuai gambar,other,,,,,,,,,,,,,,
r017891_c3,saya yang tinggi 165 berat 60 saja kegedean banget untuk ukuran m nya,fashion,,,,,,,,,,,,,,
r005020_c1,cocok buat warm tone,other,,,,,,,,,,,,,,
r000796_c3,produk original,other,,,,,,,,,,,,,,
r022322_c1,semua tombolnya berfungsi dengan baik dan enak dimainin,electronics,,,,,,,,,,,,,,
r016351_c0,barang manstap sesuai deskrifsi,fashion,,,,,,,,,,,,,,
r006700_c0,barang bagus pake banget pengiriman mantap,craft,,,,,,,,,,,,,,
r006706_c0,kualitas barang terbukti baik,craft,,,,,,,,,,,,,,
r019739_c2,kualitas produk baik,fashion,,,,,,,,,,,,,,
r017397_c5,dan dapat bonus banyak sekali,fashion,,,,,,,,,,,,,,
r002905_c3,ini keren banget si harga terjangkau kualitas oke,fashion,,,,,,,,,,,,,,
r013614_c0,baranh sudah sampai hanya packing kurang aman,electronics,,,,,,,,,,,,,,
r035978_c1,pengiriman bagus dan sesuai harapan,other,,,,,,,,,,,,,,
r002793_c5,warna pink�y tidak soft seperti gambar (maaf) pink�y seperti warna taplak meja hajatan,fashion,,,,,,,,,,,,,,
r007076_c2,cepat respon dapet bonus pula 👍👍,fashion,,,,,,,,,,,,,,
r001717_c0,barang tidak lengkap,craft,,,,,,,,,,,,,,
r022406_c0,barang bagus,electronics,,,,,,,,,,,,,,
r035417_c2,respon cepat,other,,,,,,,,,,,,,,
r018413_c0,produk ori lengkap dengan box,fashion,,,,,,,,,,,,,,
r029947_c1,jadi yaudah lah,electronics,,,,,,,,,,,,,,
r039036_c0,barang sudah diterima dengan baik,other,,,,,,,,,,,,,,
r007072_c1,ukuran pas,fashion,,,,,,,,,,,,,,
r028147_c5,deskripsi sesuai stock-,electronics,,,,,,,,,,,,,,
r015348_c1,empuk semoga awet dan tahan lama,fashion,,,,,,,,,,,,,,
r028279_c1,berfungsi dengan baik,electronics,,,,,,,,,,,,,,
r005226_c2,pake dimobil,other,,,,,,,,,,,,,,
r005008_c1,masih jauh tahan lama merk sebelah,other,,,,,,,,,,,,,,
r020793_c1,terima kasih seller,electronics,,,,,,,,,,,,,,
r022949_c0,kinclong lah pokokny mantap ea ea,electronics,,,,,,,,,,,,,,
r022621_c0,bagus lumayan dengan harga segini,electronics,,,,,,,,,,,,,,
r004230_c3,warnanya cantik,fashion,,,,,,,,,,,,,,
r037024_c0,kualitas bagus pemakaian hemat bisa untuk 2 pasang lebih,other,,,,,,,,,,,,,,
r035884_c0,kwalitas mantap,other,,,,,,,,,,,,,,
r004845_c0,paket datang kardus penyok & robek,other,,,,,,,,,,,,,,
r004816_c4,trus bahannya juga nerawang alias tipis dan pengait bagian perutnya juga gmpang lepas,other,,,,,,,,,,,,,,
r016909_c0,respon sellet cepat,fashion,,,,,,,,,,,,,,
r002199_c1,barang sudah diterima dengan baik dan sudah di tes,other,,,,,,,,,,,,,,
r036110_c0,terima kasih barang sudah diterima dengan baik,other,,,,,,,,,,,,,,
r013707_c1,pengiriman cepat,electronics,,,,,,,,,,,,,,
r015643_c1,sedikit kebesaran,fashion,,,,,,,,,,,,,,
r008452_c0,bagus sesuai gambar,electronics,,,,,,,,,,,,,,
r001120_c1,packing,other,,,,,,,,,,,,,,
r016524_c1,harga terjangkau,fashion,,,,,,,,,,,,,,
r036021_c3,tidak dapet warna pink,other,,,,,,,,,,,,,,
r004231_c3,bisa kepakek untuk di rumah saja warnanya cantik,fashion,,,,,,,,,,,,,,
r004852_c0,kemasannya kurang baikk kotakya tidak rapih seperti bekas,other,,,,,,,,,,,,,,
r002811_c2,thanks,fashion,,,,,,,,,,,,,,
r003799_c3,mohon menggunakan bubble wrap supaya tidak terjadi kerusakan dalam pengiriman,other,,,,,,,,,,,,,,
r005100_c1,rasanya enak,other,,,,,,,,,,,,,,
r003045_c2,manual pake bahasa china sulit dipahami,other,,,,,,,,,,,,,,
r002552_c0,dikirimnya lama,electronics,,,,,,,,,,,,,,
r004707_c1,pengiriman baik,electronics,,,,,,,,,,,,,,
r035443_c3,sesaknya luar biasa,other,,,,,,,,,,,,,,
r019936_c2,dan juga ori,fashion,,,,,,,,,,,,,,
r034223_c1,sesuai pesanan,other,,,,,,,,,,,,,,
r002613_c0,bahanny tidak enak,fashion,,,,,,,,,,,,,,
r022368_c0,rapih,electronics,,,,,,,,,,,,,,
r003839_c1,sudah mahal beli buku import,other,,,,,,,,,,,,,,
r003840_c1,penjual bingung sendiri apakah stok masih ready atau tidak,other,,,,,,,,,,,,,,
r036072_c2,kemasan baik,other,,,,,,,,,,,,,,
r003715_c5,kurir beratnggung jawab dan pesankan lagi warna hitam pakai toko online lain,other,,,,,,,,,,,,,,
r022810_c0,ntaps,electronics,,,,,,,,,,,,,,
r032844_c0,baguuss,electronics,,,,,,,,,,,,,,
r015608_c1,original,fashion,,,,,,,,,,,,,,
r015659_c1,nya sesuai gambar mungkin size&#39,fashion,,,,,,,,,,,,,,
r002499_c4,dan ada bonus kartu perdana smartfren,electronics,,,,,,,,,,,,,,
r035907_c1,ada aroma tidak nyaman dari matrasnya,other,,,,,,,,,,,,,,
r003561_c1,benar benar ukuran super mini,other,,,,,,,,,,,,,,
r002497_c2,seller: packaging oke,electronics,,,,,,,,,,,,,,
r029929_c5,yang pasti prosedur penukaran hrs kita ikuti dong,electronics,,,,,,,,,,,,,,
r003855_c6,dan tidak nyaman,other,,,,,,,,,,,,,,
r005225_c1,maza sih dengan harga segitu produk yang di tawarkan bisa mantap,other,,,,,,,,,,,,,,
r037628_c0,barang bagus lengkap sesuai pesanan,other,,,,,,,,,,,,,,
r020067_c0,packing nya rapi,fashion,,,,,,,,,,,,,,
r003715_c10,pakai bubble wrap murah kok,other,,,,,,,,,,,,,,
r014771_c0,terima kasih kak barangnga sudah sampai :) bagus dan sesuai ukuran,fashion,,,,,,,,,,,,,,
r014206_c2,recommended seller banget,electronics,,,,,,,,,,,,,,
r011633_c2,murah meriah,electronics,,,,,,,,,,,,,,
r036070_c0,sangat memuaskan,other,,,,,,,,,,,,,,
r004226_c1,modelnya cantik,fashion,,,,,,,,,,,,,,
r002193_c2,eh ada bonus nya juga ya,other,,,,,,,,,,,,,,
r035428_c0,mmg buat ukuran anak2 buat buyer mmg sulit membayangkan 10inch,other,,,,,,,,,,,,,,
r004816_c2,paa barang datang baru juga dipakai 2 jam masa bolong pas bagian miss v nya,other,,,,,,,,,,,,,,
r003265_c13,smoga awet dan bener asli,electronics,,,,,,,,,,,,,,
r004628_c1,kelengkapan sesuai,electronics,,,,,,,,,,,,,,
r039576_c2,menyenangkan sekali,other,,,,,,,,,,,,,,
r013141_c1,diatas ekspektasi deh,electronics,,,,,,,,,,,,,,
r002507_c18,penjualnya ramah banget,electronics,,,,,,,,,,,,,,
r004446_c2,gak smpet foto sya ksihkan sama nenek sya,fashion,,,,,,,,,,,,,,
r022776_c1,sesuai produk terima kasih bos respon cepat nya,electronics,,,,,,,,,,,,,,
r015515_c1,proses cepat,fashion,,,,,,,,,,,,,,
r002309_c0,buku pasti ori,other,,,,,,,,,,,,,,
r006960_c0,barang bagus sesuai harapan,fashion,,,,,,,,,,,,,,
r022309_c0,barang sudah sampai,electronics,,,,,,,,,,,,,,
r000523_c2,rasanya mantap,food_beverage,,,,,,,,,,,,,,
r022598_c0,puas sekali,electronics,,,,,,,,,,,,,,
r022798_c0,jumlah barang sesuai,electronics,,,,,,,,,,,,,,
r017479_c0,ah kereen banged sepatunya,fashion,,,,,,,,,,,,,,
r017891_c1,barang original,fashion,,,,,,,,,,,,,,
r022948_c0,barang yang di pesan tidak sesuai pesanan,electronics,,,,,,,,,,,,,,
r004918_c14,disetting dulu lighting/white balancenya supaya akurat & netral warnanya antar produk,electronics,,,,,,,,,,,,,,
r006956_c1,harga kompetitif,fashion,,,,,,,,,,,,,,
r006957_c1,terima kasih,fashion,,,,,,,,,,,,,,
r003941_c2,tp barang yang datang penyok,other,,,,,,,,,,,,,,
r001413_c3,sebelumnya sudah chating katanya oke hufth,craft,,,,,,,,,,,,,,
r014728_c2,tidak bisa kaki sakit,fashion,,,,,,,,,,,,,,
r022389_c1,mantap,electronics,,,,,,,,,,,,,,
r036668_c1,kemasan oke,other,,,,,,,,,,,,,,
r003373_c13,packaging aman,other,,,,,,,,,,,,,,
r022655_c1,cepat respon packing rapi dan sesuai pesanan,electronics,,,,,,,,,,,,,,
r035944_c0,terima kasih sist,other,,,,,,,,,,,,,,
r004925_c0,pengiriman cepat,electronics,,,,,,,,,,,,,,
r022557_c0,mantap,electronics,,,,,,,,,,,,,,
r000369_c0,proses cepat produk bagus finising mulus,other,,,,,,,,,,,,,,
r037031_c0,lengket,other,,,,,,,,,,,,,,
r039786_c1,sudah menulis warna ungu di catatan,other,,,,,,,,,,,,,,
r003663_c2,ga tau ini promo gara2 emang abisin stok penyok atau toko cabangnya yang bermasalah,other,,,,,,,,,,,,,,
r028065_c4,barang sesuai dengan gambar,electronics,,,,,,,,,,,,,,
r038902_c2,hari ini langsung dipakai,other,,,,,,,,,,,,,,
r039032_c1,packing rapi,other,,,,,,,,,,,,,,
r034224_c0,barang tlh kmi terima dengan baik n cepat,other,,,,,,,,,,,,,,
r004458_c5,gambar kanan adalah barang original sesuai display,fashion,,,,,,,,,,,,,,
r004763_c2,suaranya jernih,electronics,,,,,,,,,,,,,,
r003722_c6,kalau pengiriman dan packing tidak aman,other,,,,,,,,,,,,,,
r003335_c0,barang ori,other,,,,,,,,,,,,,,
r035900_c2,bagus,other,,,,,,,,,,,,,,
r001277_c1,wanginya enak & bikin tangan jadi halus abis dipakai,other,,,,,,,,,,,,,,
r028599_c3,nanti nunggu anaknya pulang hari sabtu,electronics,,,,,,,,,,,,,,
r037909_c1,enak dipakaii,other,,,,,,,,,,,,,,
r005807_c1,untuk mollar jangan pakai yang ini :),craft,,,,,,,,,,,,,,
r033124_c0,barang ori,electronics,,,,,,,,,,,,,,
r014883_c0,sedap gurih,fashion,,,,,,,,,,,,,,
r022671_c3,sudah dicoba dan bagus,electronics,,,,,,,,,,,,,,
r004366_c0,minta size 43 yang dikirim size 44,fashion,,,,,,,,,,,,,,
r025444_c3,saya rasa tidak ada masalah,electronics,,,,,,,,,,,,,,
r022618_c0,bagus respon cepat,electronics,,,,,,,,,,,,,,
r002371_c4,mantapp jiwa,other,,,,,,,,,,,,,,
r016479_c2,kalau bisa buat sampai ukuran 50 gan,fashion,,,,,,,,,,,,,,
r020790_c0,kabel berfungsi dengan baik,electronics,,,,,,,,,,,,,,
r022394_c1,sudah dipake enak barang nya alhamdulillah tidak ada kendala,electronics,,,,,,,,,,,,,,
r020089_c0,jamnya sudah sampai,fashion,,,,,,,,,,,,,,
r034139_c1,lama nya kirim barang nya,other,,,,,,,,,,,,,,
r001623_c0,dikirim bor nya kurang satu,craft,,,,,,,,,,,,,,
r002864_c0,-respon cepat & segera diproses -pengiriman rapi & cepat -piyama sesuai & nyaman digunakan -adminnya ada inisiatif untuk mengirimkan warna piyama yang berbeda -,fashion,,,,,,,,,,,,,,
r016476_c0,produk original buat an indonesia cintai lah produksi indonesia,fashion,,,,,,,,,,,,,,
r028813_c0,bagus,electronics,,,,,,,,,,,,,,
r022764_c1,recomm sudah top marktop,electronics,,,,,,,,,,,,,,
r004621_c0,guercep pol,electronics,,,,,,,,,,,,,,
r002507_c0,barang original,electronics,,,,,,,,,,,,,,
r032780_c0,kayakx tidak perlu basa basi,electronics,,,,,,,,,,,,,,
r018082_c1,semoga bisa dipakai dalam waktu lama,fashion,,,,,,,,,,,,,,
r029942_c4,penjual respon sangat baik,electronics,,,,,,,,,,,,,,
r036803_c4,apakah versi 2015 nya,other,,,,,,,,,,,,,,
r016526_c2,seller quick response,fashion,,,,,,,,,,,,,,
r017826_c1,sepatunya enak dipake,fashion,,,,,,,,,,,,,,
r037150_c1,terima kasih,other,,,,,,,,,,,,,,
r029024_c1,yg asli 2800 yang dikirim,electronics,,,,,,,,,,,,,,
r036047_c0,terimakasih untuk ds nya yaa,other,,,,,,,,,,,,,,
r002835_c2,tidak nyangka ternyata paketnya bagus banget dan kacamatanya memang sangat berguna buat orang yang sering pakai hp,fashion,,,,,,,,,,,,,,
r020131_c0,jam original n packaging rapi,fashion,,,,,,,,,,,,,,
r004847_c2,ini mau untuk kado,other,,,,,,,,,,,,,,
r002371_c2,barang bagus dan ori,other,,,,,,,,,,,,,,
r003561_c10,sejengkal,other,,,,,,,,,,,,,,
r003465_c4,disetrika kayaknya lengket,electronics,,,,,,,,,,,,,,
r013731_c1,cuman produk g sesuai pesanan warna,electronics,,,,,,,,,,,,,,
r034354_c0,packing bagus sehingga barang aman,other,,,,,,,,,,,,,,
r014799_c2,produk dikirimkan dengan tutorial penggunaan yang sangat efektif membersihkan kotoran,fashion,,,,,,,,,,,,,,
r022712_c3,langsung saya pake terimakasih banyak gan,electronics,,,,,,,,,,,,,,
r035956_c0,terima kasih sudah diterima dgb baik,other,,,,,,,,,,,,,,
r016519_c1,barang sudah nyampe,fashion,,,,,,,,,,,,,,
r035639_c2,brang bagus (y) tidak mengecewakan,other,,,,,,,,,,,,,,
r028599_c0,respon sangat cepat,electronics,,,,,,,,,,,,,,
r016733_c0,barang sesuai dengan deskripsi dan nyaman dipakai,fashion,,,,,,,,,,,,,,
r020871_c0,packing rapi,electronics,,,,,,,,,,,,,,
r000557_c2,edit: rasanya juga asin banget,food_beverage,,,,,,,,,,,,,,
r002511_c0,barang dan pengiriman sesuai,electronics,,,,,,,,,,,,,,
r002837_c2,rekomendit banget deh pokok nya buat beli disini dan juga lengkap lagi,fashion,,,,,,,,,,,,,,
r016167_c3,sesuai ekspektasi saya recommended seller,fashion,,,,,,,,,,,,,,
r016008_c0,warna cokelatnya ternyata lebih terang daripada gambar,fashion,,,,,,,,,,,,,,
r000413_c3,sambel ttp enak,food_beverage,,,,,,,,,,,,,,
r005225_c5,gel nya sangat lembut,other,,,,,,,,,,,,,,
r007079_c1,seller responsif,fashion,,,,,,,,,,,,,,
r028438_c1,terkadang gambar burem terang om,electronics,,,,,,,,,,,,,,
r035964_c1,bagus,other,,,,,,,,,,,,,,
r022589_c0,l 2 di pencet rada kurang enak,electronics,,,,,,,,,,,,,,
r000139_c0,kualitas suara oke banget apalagi dengan harga yang terjangkau barang pun dijamin ori karena sudah terdaftar di website razer langsung pokoknya bagus lah bassnya juga kerasa,electronics,,,,,,,,,,,,,,
r003393_c2,panjang tongkat 100cm ada 2 sisi,electronics,,,,,,,,,,,,,,
r015342_c2,biasanya pesan sepatu ukuran 36,fashion,,,,,,,,,,,,,,
r029281_c2,cepat banget prosesnya,electronics,,,,,,,,,,,,,,
r003754_c3,malah ribet dan jadi repot sendiri,other,,,,,,,,,,,,,,
r000494_c0,emang rasanya kaya basi apa gimana,food_beverage,,,,,,,,,,,,,,
r014478_c0,produk sudah diterima dengan baik,electronics,,,,,,,,,,,,,,
r028276_c0,mantap barang dkrim sesuai deskripsi,electronics,,,,,,,,,,,,,,
r015936_c3,thanks bata,fashion,,,,,,,,,,,,,,
r013406_c0,lumayan untuk harga yang semurah ini,electronics,,,,,,,,,,,,,,
r030279_c0,bagus original,electronics,,,,,,,,,,,,,,
r002405_c0,harga tidak mahal,other,,,,,,,,,,,,,,
r014206_c1,barang sudah diterima komplit,electronics,,,,,,,,,,,,,,
r039013_c1,pengiriman wuz,other,,,,,,,,,,,,,,
r016194_c1,enteng,fashion,,,,,,,,,,,,,,
r016760_c2,saya cukup senang dengan packaging nya,fashion,,,,,,,,,,,,,,
r002655_c0,bahan nya tipis,fashion,,,,,,,,,,,,,,
r019962_c0,sesuai pesanan respon penjual baik,fashion,,,,,,,,,,,,,,
r022560_c0,barang sudah diterima dan berfungsi dengan baik,electronics,,,,,,,,,,,,,,
r000298_c1,cat tidak rapih dan bahan kyk plastik murahan,other,,,,,,,,,,,,,,
r022449_c0,barang sesuai dan pengiriman cepat tanpa basa basi,electronics,,,,,,,,,,,,,,
r018333_c0,cantik bangeet jamnyaa💖,fashion,,,,,,,,,,,,,,
r018369_c0,mantap kali,fashion,,,,,,,,,,,,,,
r022382_c0,respon cepat,electronics,,,,,,,,,,,,,,
r003921_c2,warna produk sesuai,other,,,,,,,,,,,,,,
r022999_c0,produk sesuai spek,electronics,,,,,,,,,,,,,,
r034115_c6,lengkap dengan plastik pembungkus nya,other,,,,,,,,,,,,,,
r003213_c0,pokoknya jangan ada yang beli disini,electronics,,,,,,,,,,,,,,
r019985_c2,sukaa,fashion,,,,,,,,,,,,,,
r002369_c0,pengiriman cepat + aman banyak bubble wrap,other,,,,,,,,,,,,,,
r011947_c0,terimakasih barang sesuai diskripsi,electronics,,,,,,,,,,,,,,
r018241_c1,harga sangat kompetitif,fashion,,,,,,,,,,,,,,
r004137_c4,bahannya memang random dan tidak bisa milih,fashion,,,,,,,,,,,,,,
r022382_c1,30 menit sampai di tangan sendiri,electronics,,,,,,,,,,,,,,
r028569_c3,untuk yang mau beli baterai k2450 harus di tanyakan dulu untuk ukuran yang original baterai bawannya kaalau memang ingin yang bawaannya,electronics,,,,,,,,,,,,,,
