clause_id,clause_text,category_produk,asp_kualitas_produk,asp_kesesuaian_deskripsi,asp_harga_value,asp_ukuran_varian,asp_rasa_kualitas_makanan,asp_kemasan,asp_pengiriman,asp_pelayanan_penjual,asp_kelengkapan,asp_keaslian,asp_kemudahan_penggunaan,sentimen,severity
r014122_c3,barangnya bagus bonusnya yahud,electronics,1,0,0,0,0,0,0,0,1,0,0,positif,
r015659_c2,nya agak ke&#39,fashion,0,0,0,0,0,0,0,0,0,0,0,netral,
r037836_c0,kualitas bagus dan recommended untuk membersihkan karet bet dari debu atau kotoran,other,1,0,0,0,0,0,0,0,0,0,0,positif,
r022591_c3,buat yang butuh joystick yang murah bisa pesan disini,electronics,0,0,1,0,0,0,0,0,0,0,0,positif,
r004803_c12,sampai tgl 21,other,0,0,0,0,0,0,1,0,0,0,0,netral,
r039245_c0,barang saya rasa cukup bagus,other,1,0,0,0,0,0,0,0,0,0,0,positif,
r035951_c1,setelah di keluarkan beberapa waktu (sehari) bau agak berkurang,other,1,0,0,0,0,0,0,0,0,0,0,negatif,rendah
r004919_c0,barang sudah sampai,electronics,0,0,0,0,0,0,1,0,0,0,0,netral,
r002775_c1,tidak sesuai,fashion,0,1,0,0,0,0,0,0,0,0,0,negatif,sedang
r013133_c1,enak d pake ngegame,electronics,0,0,0,0,0,0,0,0,0,0,1,positif,
r003754_c0,diterima dalam keadaan packing terbuka dan terlihat sudah pecah,other,1,0,0,0,0,1,0,0,0,0,0,negatif,tinggi
r018239_c1,pengiriman cepat,fashion,0,0,0,0,0,0,1,0,0,0,0,positif,
r036805_c0,memang harga menentukan kualitas,other,1,0,1,0,0,0,0,0,0,0,0,netral,
r000094_c4,hadeuhh,electronics,0,0,0,0,0,0,0,0,0,0,0,negatif,rendah
r014303_c2,terima kasih gan bonus nya,electronics,0,0,0,0,0,0,0,0,1,0,0,positif,
r033304_c0,kualitas oke pemakaian pas recommended,fashion,1,0,0,0,0,0,0,0,0,0,1,positif,
r038965_c0,jne yes,other,0,0,0,0,0,0,1,0,0,0,0,positif,
r011904_c0,kwalitas sesuai dengan harga nya,electronics,1,0,1,0,0,0,0,0,0,0,0,positif,
r022456_c0,barang sesuai gambar,electronics,0,1,0,0,0,0,0,0,0,0,0,positif,
r022343_c0,terima kasih gan barang sudah saya terima dengan baik,electronics,0,0,0,0,0,0,1,0,0,0,0,positif,
r006519_c0,barang sesuai deskripsi,craft,0,1,0,0,0,0,0,0,0,0,0,positif,
r013897_c3,bagus seller,electronics,0,0,0,0,0,0,0,1,0,0,0,positif,
r017177_c1,kebetulan pas,fashion,0,0,0,1,0,0,0,0,0,0,0,positif,
r004228_c5,modelnya cantik,fashion,1,0,0,0,0,0,0,0,0,0,0,positif,
r000308_c1,toko juga sudah terpercaya,other,0,0,0,0,0,0,0,1,0,0,0,positif,
r028569_c0,barang tidak sesuai dengan yang original bawaannya,electronics,0,1,0,0,0,0,0,0,0,1,0,negatif,tinggi
r018298_c0,ori fossil,fashion,0,0,0,0,0,0,0,0,0,1,0,positif,
r015606_c2,nyaman dipakai,fashion,1,0,0,0,0,0,0,0,0,0,0,positif,
r008397_c1,pesanan sudah sampai dan langsung dipakai,electronics,0,0,0,0,0,0,1,0,0,0,0,positif,
r020873_c0,manrap bsk dapat bonus lagi yah,electronics,0,0,0,0,0,0,0,0,1,0,0,positif,
r004144_c1,kualitas sesuai harga,fashion,1,0,1,0,0,0,0,0,0,0,0,positif,
r035950_c0,barangnya bagus,other,1,0,0,0,0,0,0,0,0,0,0,positif,
r003833_c0,cover buku tidak bagus,other,1,0,0,0,0,0,0,0,0,0,0,negatif,sedang
r003529_c2,packaging rapi,other,0,0,0,0,0,1,0,0,0,0,0,positif,
r020203_c0,buckle harga 200ribu,fashion,0,0,1,0,0,0,0,0,0,0,0,netral,
r016433_c3,walau ane minta custom ketebelan ternyata,fashion,0,0,0,1,0,0,0,0,0,0,0,netral,
r001304_c0,cepat resp seller pengiriman cepat packaging rapih aman barang lengkap sesuaii thankss a lott,other,0,1,0,0,0,1,1,1,1,0,0,positif,
r035934_c1,belum dipakai,other,0,0,0,0,0,0,0,0,0,0,0,netral,
r038893_c0,cukup sudah lumayan gan ukuran dan warna sesuai dengan foto,other,0,1,0,1,0,0,0,0,0,0,0,positif,
r016395_c1,pengiriman tettunda sama saja pake jne mahal di ongkir pake gosend kalau tertunda sperti ini,fashion,0,0,1,0,0,0,1,0,0,0,0,negatif,sedang
r000361_c3,thamos train set,other,0,0,0,0,0,0,0,0,0,0,0,netral,
r022834_c0,sudah dipasang,electronics,0,0,0,0,0,0,0,0,0,0,1,netral,
r004745_c0,barang original,electronics,0,0,0,0,0,0,0,0,0,1,0,positif,
r032780_c1,ini toko mantap pnya is the best,electronics,0,0,0,0,0,0,0,1,0,0,0,positif,
r039049_c0,terimakasih barang sudah sampai,other,0,0,0,0,0,0,1,0,0,0,0,positif,
r016382_c1,recommended sangat,fashion,0,0,0,0,0,0,0,0,0,0,0,positif,
r006954_c2,pemasangan juga gampang bisa sendiri,fashion,0,0,0,0,0,0,0,0,0,0,1,positif,
r000414_c1,ini pemesanan untuk yang kesekian kalinya,food_beverage,0,0,0,0,0,0,0,0,0,0,0,positif,
r001507_c0,kapok saya beli kembang api di toko ini bilang nya,craft,0,0,0,0,0,0,0,1,0,0,0,negatif,tinggi
r032616_c0,harga murah dan bisa di gunakan dan pasti jadi rutin beli,electronics,0,0,1,0,0,0,0,0,0,0,1,positif,
r003019_c2,kualitas suara standar sebanding dengan harga,other,1,0,1,0,0,0,0,0,0,0,0,netral,
r004918_c3,kecewa sih,electronics,0,0,0,0,0,0,0,0,0,0,0,negatif,sedang
r014521_c0,pas ukuran kualitas unggulan,fashion,1,0,0,1,0,0,0,0,0,0,0,positif,
r000951_c0,tidak mengkilap dan cepat hilang,other,1,0,0,0,0,0,0,0,0,0,0,negatif,sedang
r008419_c4,sudah seminggu statusnya rumah kosong,electronics,0,0,0,0,0,0,1,0,0,0,0,negatif,sedang
r022819_c0,semoga awet tidak mudah pecah,electronics,1,0,0,0,0,0,0,0,0,0,0,netral,
r032701_c0,datang cepat dan sesuai dengan gambar langsung bisa dipakai,electronics,0,1,0,0,0,0,1,0,0,0,0,positif,
r003680_c6,boro2 dikonsumsi,other,1,0,0,0,1,0,0,0,0,0,0,negatif,tinggi
r022694_c2,kondisi mulus sesuai dengan deskripsi,electronics,1,1,0,0,0,0,0,0,0,0,0,positif,
r003108_c2,dari saya sendiri tidak kirim kesana karena ribet dalam ongkir dan pengiriman nya,electronics,0,0,0,0,0,0,1,0,0,0,0,negatif,sedang
r022813_c0,respon seller sangat baik dan cepat tentunya barang sesuai,electronics,0,1,0,0,0,0,0,1,0,0,0,positif,
r025771_c2,thks gan,electronics,0,0,0,0,0,0,0,0,0,0,0,positif,
r001696_c1,tercium aroma kecoa yang sgt menyengat,craft,1,0,0,0,0,0,0,0,0,0,0,negatif,tinggi
r000530_c3,enak tidak cape jadi makin sering masak biar hemat dan sehat dirumahmakasi yaa sudah mempermudah masak,food_beverage,0,0,0,0,0,0,0,0,0,0,1,positif,
r028294_c0,terima kasih sempet ada problem,electronics,0,0,0,0,0,0,0,1,0,0,0,netral,
r017412_c0,sepatunya super ringan,fashion,1,0,0,0,0,0,0,0,0,0,0,positif,
r003328_c0,menggunakan bahan alami,other,1,0,0,0,0,0,0,0,0,0,0,positif,
r022516_c4,terima kasih,electronics,0,0,0,0,0,0,0,0,0,0,0,positif,
r003802_c2,bukan buku original,other,0,0,0,0,0,0,0,0,0,1,0,negatif,tinggi
r004621_c5,pas unboxing isi paket tetap kering,electronics,0,0,0,0,0,1,0,0,0,0,0,positif,
r002835_c0,seller ramah,fashion,0,0,0,0,0,0,0,1,0,0,0,positif,
r002926_c2,warnanya bagus,fashion,0,0,0,1,0,0,0,0,0,0,0,positif,
r039217_c0,oke tks sesuai dengan gambar,other,0,1,0,0,0,0,0,0,0,0,0,positif,
r025603_c0,respon cepat,fashion,0,0,0,0,0,0,0,1,0,0,0,positif,
r022507_c1,di packing pakai kresek😂😂,electronics,0,0,0,0,0,1,0,0,0,0,0,negatif,sedang
r002823_c5,nyaman dipakai,fashion,1,0,0,0,0,0,0,0,0,0,0,positif,
r022344_c3,hanya plastik hitam mudah robek,electronics,0,0,0,0,0,1,0,0,0,0,0,negatif,sedang
r033126_c0,respon penjual sangat cepat dan barang sesuai pesanan,electronics,0,1,0,0,0,0,0,1,0,0,0,positif,
r034440_c0,seller cepat respon barang sesuai harga,other,0,0,1,0,0,0,0,1,0,0,0,positif,
r016709_c0,mantap sendalnnya kokoh,fashion,1,0,0,0,0,0,0,0,0,0,0,positif,
r002791_c3,tolong sebelum kirim di cek dulu kualitas biar tidak gini,fashion,1,0,0,0,0,0,0,1,0,0,0,negatif,sedang
r015257_c2,bagus dan enak pakai terima kasih,fashion,1,0,0,0,0,0,0,0,0,0,1,positif,
r037016_c1,mudah dipakai,other,0,0,0,0,0,0,0,0,0,0,1,positif,
r035442_c2,kualitas sesuai gambar,other,1,1,0,0,0,0,0,0,0,0,0,positif,
r017891_c3,saya yang tinggi 165 berat 60 saja kegedean banget untuk ukuran m nya,fashion,0,0,0,1,0,0,0,0,0,0,0,negatif,sedang
r005020_c1,cocok buat warm tone,other,0,0,0,1,0,0,0,0,0,0,0,positif,
r000796_c3,produk original,other,0,0,0,0,0,0,0,0,0,1,0,positif,
r022322_c1,semua tombolnya berfungsi dengan baik dan enak dimainin,electronics,1,0,0,0,0,0,0,0,0,0,1,positif,
r016351_c0,barang manstap sesuai deskrifsi,fashion,1,1,0,0,0,0,0,0,0,0,0,positif,
r006700_c0,barang bagus pake banget pengiriman mantap,craft,1,0,0,0,0,0,1,0,0,0,0,positif,
r006706_c0,kualitas barang terbukti baik,craft,1,0,0,0,0,0,0,0,0,0,0,positif,
r019739_c2,kualitas produk baik,fashion,1,0,0,0,0,0,0,0,0,0,0,positif,
r017397_c5,dan dapat bonus banyak sekali,fashion,0,0,0,0,0,0,0,0,1,0,0,positif,
r002905_c3,ini keren banget si harga terjangkau kualitas oke,fashion,1,0,1,0,0,0,0,0,0,0,0,positif,
r013614_c0,baranh sudah sampai hanya packing kurang aman,electronics,0,0,0,0,0,1,1,0,0,0,0,negatif,sedang
r035978_c1,pengiriman bagus dan sesuai harapan,other,0,0,0,0,0,0,1,0,0,0,0,positif,
r002793_c5,warna pink�y tidak soft seperti gambar (maaf) pink�y seperti warna taplak meja hajatan,fashion,0,1,0,1,0,0,0,0,0,0,0,negatif,sedang
r007076_c2,cepat respon dapet bonus pula 👍👍,fashion,0,0,0,0,0,0,0,1,1,0,0,positif,
r001717_c0,barang tidak lengkap,craft,0,0,0,0,0,0,0,0,1,0,0,negatif,tinggi
r022406_c0,barang bagus,electronics,1,0,0,0,0,0,0,0,0,0,0,positif,
r035417_c2,respon cepat,other,0,0,0,0,0,0,0,1,0,0,0,positif,
r018413_c0,produk ori lengkap dengan box,fashion,0,0,0,0,0,1,0,0,1,1,0,positif,
r029947_c1,jadi yaudah lah,electronics,0,0,0,0,0,0,0,0,0,0,0,netral,
r039036_c0,barang sudah diterima dengan baik,other,0,0,0,0,0,0,1,0,0,0,0,positif,
r007072_c1,ukuran pas,fashion,0,0,0,1,0,0,0,0,0,0,0,positif,
r028147_c5,deskripsi sesuai stock-,electronics,0,1,0,0,0,0,0,0,0,0,0,positif,
r015348_c1,empuk semoga awet dan tahan lama,fashion,1,0,0,0,0,0,0,0,0,0,0,positif,
r028279_c1,berfungsi dengan baik,electronics,1,0,0,0,0,0,0,0,0,0,0,positif,
r005226_c2,pake dimobil,other,0,0,0,0,0,0,0,0,0,0,0,netral,
r005008_c1,masih jauh tahan lama merk sebelah,other,1,0,0,0,0,0,0,0,0,0,0,negatif,sedang
r020793_c1,terima kasih seller,electronics,0,0,0,0,0,0,0,1,0,0,0,positif,
r022949_c0,kinclong lah pokokny mantap ea ea,electronics,1,0,0,0,0,0,0,0,0,0,0,positif,
r022621_c0,bagus lumayan dengan harga segini,electronics,1,0,1,0,0,0,0,0,0,0,0,positif,
r004230_c3,warnanya cantik,fashion,0,0,0,1,0,0,0,0,0,0,0,positif,
r037024_c0,kualitas bagus pemakaian hemat bisa untuk 2 pasang lebih,other,1,0,1,0,0,0,0,0,0,0,0,positif,
r035884_c0,kwalitas mantap,other,1,0,0,0,0,0,0,0,0,0,0,positif,
r004845_c0,paket datang kardus penyok & robek,other,0,0,0,0,0,1,0,0,0,0,0,negatif,sedang
r004816_c4,trus bahannya juga nerawang alias tipis dan pengait bagian perutnya juga gmpang lepas,other,1,0,0,0,0,0,0,0,0,0,0,negatif,tinggi
r016909_c0,respon sellet cepat,fashion,0,0,0,0,0,0,0,1,0,0,0,positif,
r002199_c1,barang sudah diterima dengan baik dan sudah di tes,other,1,0,0,0,0,0,1,0,0,0,0,positif,
r036110_c0,terima kasih barang sudah diterima dengan baik,other,0,0,0,0,0,0,1,0,0,0,0,positif,
r013707_c1,pengiriman cepat,electronics,0,0,0,0,0,0,1,0,0,0,0,positif,
r015643_c1,sedikit kebesaran,fashion,0,0,0,1,0,0,0,0,0,0,0,negatif,rendah
r008452_c0,bagus sesuai gambar,electronics,1,1,0,0,0,0,0,0,0,0,0,positif,
r001120_c1,packing,other,0,0,0,0,0,1,0,0,0,0,0,netral,
r016524_c1,harga terjangkau,fashion,0,0,1,0,0,0,0,0,0,0,0,positif,
r036021_c3,tidak dapet warna pink,other,0,1,0,1,0,0,0,0,0,0,0,negatif,sedang
r004231_c3,bisa kepakek untuk di rumah saja warnanya cantik,fashion,0,0,0,1,0,0,0,0,0,0,1,positif,
r004852_c0,kemasannya kurang baikk kotakya tidak rapih seperti bekas,other,0,0,0,0,0,1,0,0,0,0,0,negatif,sedang
r002811_c2,thanks,fashion,0,0,0,0,0,0,0,0,0,0,0,positif,
r003799_c3,mohon menggunakan bubble wrap supaya tidak terjadi kerusakan dalam pengiriman,other,0,0,0,0,0,1,1,0,0,0,0,negatif,sedang
r005100_c1,rasanya enak,other,0,0,0,0,1,0,0,0,0,0,0,positif,
r003045_c2,manual pake bahasa china sulit dipahami,other,0,0,0,0,0,0,0,0,1,0,1,negatif,sedang
r002552_c0,dikirimnya lama,electronics,0,0,0,0,0,0,1,0,0,0,0,negatif,sedang
r004707_c1,pengiriman baik,electronics,0,0,0,0,0,0,1,0,0,0,0,positif,
r035443_c3,sesaknya luar biasa,other,0,0,0,1,0,0,0,0,0,0,0,negatif,sedang
r019936_c2,dan juga ori,fashion,0,0,0,0,0,0,0,0,0,1,0,positif,
r034223_c1,sesuai pesanan,other,0,1,0,0,0,0,0,0,0,0,0,positif,
r002613_c0,bahanny tidak enak,fashion,1,0,0,0,0,0,0,0,0,0,0,negatif,sedang
r022368_c0,rapih,electronics,0,0,0,0,0,1,0,0,0,0,0,positif,
r003839_c1,sudah mahal beli buku import,other,0,0,1,0,0,0,0,0,0,0,0,negatif,sedang
r003840_c1,penjual bingung sendiri apakah stok masih ready atau tidak,other,0,0,0,0,0,0,0,1,0,0,0,negatif,sedang
r036072_c2,kemasan baik,other,0,0,0,0,0,1,0,0,0,0,0,positif,
r003715_c5,kurir beratnggung jawab dan pesankan lagi warna hitam pakai toko online lain,other,0,0,0,0,0,0,1,1,0,0,0,netral,
r022810_c0,ntaps,electronics,0,0,0,0,0,0,0,0,0,0,0,positif,
r032844_c0,baguuss,electronics,0,0,0,0,0,0,0,0,0,0,0,positif,
r015608_c1,original,fashion,0,0,0,0,0,0,0,0,0,1,0,positif,
r015659_c1,nya sesuai gambar mungkin size&#39,fashion,0,1,0,1,0,0,0,0,0,0,0,positif,
r002499_c4,dan ada bonus kartu perdana smartfren,electronics,0,0,0,0,0,0,0,0,1,0,0,positif,
r035907_c1,ada aroma tidak nyaman dari matrasnya,other,1,0,0,0,0,0,0,0,0,0,0,negatif,sedang
r003561_c1,benar benar ukuran super mini,other,0,0,0,1,0,0,0,0,0,0,0,negatif,sedang
r002497_c2,seller: packaging oke,electronics,0,0,0,0,0,1,0,0,0,0,0,positif,
r029929_c5,yang pasti prosedur penukaran hrs kita ikuti dong,electronics,0,0,0,0,0,0,0,1,0,0,0,netral,
r003855_c6,dan tidak nyaman,other,1,0,0,0,0,0,0,0,0,0,0,negatif,sedang
r005225_c1,maza sih dengan harga segitu produk yang di tawarkan bisa mantap,other,1,0,1,0,0,0,0,0,0,0,0,positif,
r037628_c0,barang bagus lengkap sesuai pesanan,other,1,1,0,0,0,0,0,0,1,0,0,positif,
r020067_c0,packing nya rapi,fashion,0,0,0,0,0,1,0,0,0,0,0,positif,
r003715_c10,pakai bubble wrap murah kok,other,0,0,0,0,0,1,0,0,0,0,0,negatif,sedang
r014771_c0,terima kasih kak barangnga sudah sampai :) bagus dan sesuai ukuran,fashion,1,0,0,1,0,0,1,0,0,0,0,positif,
r014206_c2,recommended seller banget,electronics,0,0,0,0,0,0,0,1,0,0,0,positif,
r011633_c2,murah meriah,electronics,0,0,1,0,0,0,0,0,0,0,0,positif,
r036070_c0,sangat memuaskan,other,0,0,0,0,0,0,0,0,0,0,0,positif,
r004226_c1,modelnya cantik,fashion,1,0,0,0,0,0,0,0,0,0,0,positif,
r002193_c2,eh ada bonus nya juga ya,other,0,0,0,0,0,0,0,0,1,0,0,positif,
r035428_c0,mmg buat ukuran anak2 buat buyer mmg sulit membayangkan 10inch,other,0,1,0,1,0,0,0,0,0,0,0,netral,
r004816_c2,paa barang datang baru juga dipakai 2 jam masa bolong pas bagian miss v nya,other,1,0,0,0,0,0,0,0,0,0,0,negatif,tinggi
r003265_c13,smoga awet dan bener asli,electronics,1,0,0,0,0,0,0,0,0,1,0,netral,
r004628_c1,kelengkapan sesuai,electronics,0,0,0,0,0,0,0,0,1,0,0,positif,
r039576_c2,menyenangkan sekali,other,0,0,0,0,0,0,0,0,0,0,0,positif,
r013141_c1,diatas ekspektasi deh,electronics,0,0,0,0,0,0,0,0,0,0,0,positif,
r002507_c18,penjualnya ramah banget,electronics,0,0,0,0,0,0,0,1,0,0,0,positif,
r004446_c2,gak smpet foto sya ksihkan sama nenek sya,fashion,0,0,0,0,0,0,0,0,0,0,0,netral,
r022776_c1,sesuai produk terima kasih bos respon cepat nya,electronics,0,1,0,0,0,0,0,1,0,0,0,positif,
r015515_c1,proses cepat,fashion,0,0,0,0,0,0,1,0,0,0,0,positif,
r002309_c0,buku pasti ori,other,0,0,0,0,0,0,0,0,0,1,0,positif,
r006960_c0,barang bagus sesuai harapan,fashion,1,0,0,0,0,0,0,0,0,0,0,positif,
r022309_c0,barang sudah sampai,electronics,0,0,0,0,0,0,1,0,0,0,0,netral,
r000523_c2,rasanya mantap,food_beverage,0,0,0,0,1,0,0,0,0,0,0,positif,
r022598_c0,puas sekali,electronics,0,0,0,0,0,0,0,0,0,0,0,positif,
r022798_c0,jumlah barang sesuai,electronics,0,0,0,0,0,0,0,0,1,0,0,positif,
r017479_c0,ah kereen banged sepatunya,fashion,1,0,0,0,0,0,0,0,0,0,0,positif,
r017891_c1,barang original,fashion,0,0,0,0,0,0,0,0,0,1,0,positif,
r022948_c0,barang yang di pesan tidak sesuai pesanan,electronics,0,1,0,0,0,0,0,0,0,0,0,negatif,tinggi
r004918_c14,disetting dulu lighting/white balancenya supaya akurat & netral warnanya antar produk,electronics,0,0,0,1,0,0,0,0,0,0,1,netral,
r006956_c1,harga kompetitif,fashion,0,0,1,0,0,0,0,0,0,0,0,positif,
r006957_c1,terima kasih,fashion,0,0,0,0,0,0,0,0,0,0,0,positif,
r003941_c2,tp barang yang datang penyok,other,1,0,0,0,0,1,0,0,0,0,0,negatif,sedang
r001413_c3,sebelumnya sudah chating katanya oke hufth,craft,0,0,0,0,0,0,0,1,0,0,0,negatif,sedang
r014728_c2,tidak bisa kaki sakit,fashion,1,0,0,1,0,0,0,0,0,0,0,negatif,sedang
r022389_c1,mantap,electronics,0,0,0,0,0,0,0,0,0,0,0,positif,
r036668_c1,kemasan oke,other,0,0,0,0,0,1,0,0,0,0,0,positif,
r003373_c13,packaging aman,other,0,0,0,0,0,1,0,0,0,0,0,positif,
r022655_c1,cepat respon packing rapi dan sesuai pesanan,electronics,0,1,0,0,0,1,0,1,0,0,0,positif,
r035944_c0,terima kasih sist,other,0,0,0,0,0,0,0,0,0,0,0,positif,
r004925_c0,pengiriman cepat,electronics,0,0,0,0,0,0,1,0,0,0,0,positif,
r022557_c0,mantap,electronics,0,0,0,0,0,0,0,0,0,0,0,positif,
r000369_c0,proses cepat produk bagus finising mulus,other,1,0,0,0,0,0,1,0,0,0,0,positif,
r037031_c0,lengket,other,1,0,0,0,0,0,0,0,0,0,0,negatif,rendah
r039786_c1,sudah menulis warna ungu di catatan,other,0,0,0,1,0,0,0,0,0,0,0,netral,
r003663_c2,ga tau ini promo gara2 emang abisin stok penyok atau toko cabangnya yang bermasalah,other,1,0,0,0,0,0,0,1,0,0,0,negatif,sedang
r028065_c4,barang sesuai dengan gambar,electronics,0,1,0,0,0,0,0,0,0,0,0,positif,
r038902_c2,hari ini langsung dipakai,other,0,0,0,0,0,0,0,0,0,0,0,netral,
r039032_c1,packing rapi,other,0,0,0,0,0,1,0,0,0,0,0,positif,
r034224_c0,barang tlh kmi terima dengan baik n cepat,other,0,0,0,0,0,0,1,0,0,0,0,positif,
r004458_c5,gambar kanan adalah barang original sesuai display,fashion,0,1,0,0,0,0,0,0,0,1,0,positif,
r004763_c2,suaranya jernih,electronics,1,0,0,0,0,0,0,0,0,0,0,positif,
r003722_c6,kalau pengiriman dan packing tidak aman,other,0,0,0,0,0,1,1,0,0,0,0,negatif,sedang
r003335_c0,barang ori,other,0,0,0,0,0,0,0,0,0,1,0,positif,
r035900_c2,bagus,other,0,0,0,0,0,0,0,0,0,0,0,positif,
r001277_c1,wanginya enak & bikin tangan jadi halus abis dipakai,other,1,0,0,0,0,0,0,0,0,0,0,positif,
r028599_c3,nanti nunggu anaknya pulang hari sabtu,electronics,0,0,0,0,0,0,0,0,0,0,0,netral,
r037909_c1,enak dipakaii,other,0,0,0,0,0,0,0,0,0,0,1,positif,
r005807_c1,untuk mollar jangan pakai yang ini :),craft,0,0,0,0,0,0,0,0,0,0,1,negatif,sedang
r033124_c0,barang ori,electronics,0,0,0,0,0,0,0,0,0,1,0,positif,
r014883_c0,sedap gurih,fashion,0,0,0,0,1,0,0,0,0,0,0,positif,
r022671_c3,sudah dicoba dan bagus,electronics,1,0,0,0,0,0,0,0,0,0,0,positif,
r004366_c0,minta size 43 yang dikirim size 44,fashion,0,1,0,1,0,0,0,0,0,0,0,negatif,tinggi
r025444_c3,saya rasa tidak ada masalah,electronics,0,0,0,0,0,0,0,0,0,0,0,positif,
r022618_c0,bagus respon cepat,electronics,0,0,0,0,0,0,0,1,0,0,0,positif,
